date,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,vix_open,vix_high,vix_low,vix_close,vix_adj_close
2014-03-11,641.32,642.07,632.21,633.99,20.33,20.809999,19.969999,20.67,000,20.67
2014-03-10,639.92,641.71,636.09,641.48,21.620001,21.620001,20.26,20.33,000,20.33
2014-03-07,638.12,641.08,637.27,640.16,19.51,20.26,19.34,20.01,000,20.01
2014-03-06,634.36,638.19,633.88,637.61,20.290001,20.790001,19.84,19.959999,000,19.959999
2014-03-05,640.8,641.02,632.58,634.07,19.879999,20.290001,19.469999,20.290001,000,20.290001
2014-03-04,635.16,643.07,635.16,640.96,21.049999,21.059999,19.860001,19.879999,000,19.879999
2014-03-03,637.94,641.04,631.91,634.51,18.709999,21.00,18.709999,20.90,000,20.90
2014-02-28,635.48,641.16,635.05,638.36,18.809999,18.959999,18.360001,18.709999,000,18.709999
2014-02-27,635.22,636.57,631.6,635.29,19.07,19.07,18.639999,18.809999,000,18.809999
2014-02-26,639.37,640.62,633.6,635.36,18.469999,18.67,18.290001,18.48,000,18.48
2014-02-25,639.17,640.75,634.61,639.27,18.16,19.620001,18.16,18.469999,000,18.469999
2014-02-24,630.66,644.58,630.66,639.36,18.24,18.25,17.799999,18.16,000,18.16
2014-02-21,634.24,634.35,629.76,629.81,17.799999,18.10,17.50,17.90,000,17.90
2014-02-20,628.95,635.54,628.89,634.22,18.549999,18.549999,17.559999,17.59,000,17.59
2014-02-19,628.4,636.33,628.4,629.42,18.59,18.74,18.17,18.35,000,18.35
2014-02-18,627.36,630.43,626.22,629.11,17.67,18.43,17.33,18.43,000,18.43
2014-02-14,618.39,628.46,618.34,627.11,19.00,19.219999,17.90,17.950001,000,17.950001
2014-02-13,614.77,619.57,610.92,618.12,19.49,19.49,18.870001,19.00,000,19.00
2014-02-12,618.52,620.25,615.29,615.76,19.049999,19.40,18.959999,19.23,000,19.23
2014-02-11,609.55,619.61,609.55,618.04,19.18,19.290001,18.91,19.049999,000,19.049999
